dataset,model,adapter,n_features,n_components,context_length,forecasting_horizon,num_layers,hidden_dim,learning_rate,batch_size,coeff_reconstruction,running_time,seed,mse,mae,test_mse,test_mae,num_coupling,scaled_mse,scaled_mae,test_scaled_mse,test_scaled_mae
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,1,512,24,0.0,64,0.001,64,0.1,12.12857174873352,19837,0.8366790053745776,0.7128026727978738,5.790279675933767,1.684318624056396,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,1,512,24,0.0,128,0.001,64,1.0,19.0698823928833,19837,0.8061110660536316,0.698361946506064,5.731494585777299,1.6675924468986367,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,1,512,24,2.0,128,0.01,32,0.1,3.258589267730713,19837,0.7085313027036757,0.6628082172856907,5.16640401044556,1.5844047945592588,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,1,512,24,1.0,64,0.0001,32,0.1,33.531068325042725,19837,0.9471288323858574,0.7599220768133523,6.161235544042945,1.7579120051027253,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,1,512,24,2.0,64,0.01,32,1.0,5.039186477661133,19837,0.7193779615864342,0.6614278848922194,5.260920236812858,1.5874008380953926,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,1,512,24,0.0,64,0.01,64,0.1,11.55845308303833,19837,0.7102112145390393,0.6629801900345084,5.181789839758053,1.584806872873156,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,1,512,24,1.0,64,0.001,32,1.0,19.58748269081116,19837,0.7526694860034848,0.6784474954447648,5.488910263408595,1.6298505183591177,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,1,512,24,1.0,64,0.01,32,10.0,6.997230291366577,19837,0.7120763315800144,0.6641634557011338,5.225694209123534,1.591180639792209,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,1,512,24,0.0,128,0.001,64,0.1,9.718160390853882,19837,0.8294015964401653,0.704173683345276,5.828427470743537,1.681445340656757,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,1,512,24,0.0,64,0.01,32,0.01,8.282230377197266,19837,0.7336488801801179,0.6615837118233553,5.195861930373774,1.5786191121346422,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,1,512,24,0.0,128,0.001,32,1.0,15.571797847747805,19837,0.7401214065390858,0.6752692711438005,5.435753510834713,1.6239232229994516,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,1,512,24,2.0,128,0.01,32,1.0,4.699835538864136,19837,0.7067188174033572,0.6622459018225524,5.146207244493212,1.5799338739702125,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,1,512,24,2.0,128,0.01,64,0.1,2.94413685798645,19837,0.7084090350021477,0.6595261289310068,5.131302791990718,1.5735498793808016,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,1,512,24,1.0,64,0.001,32,0.1,18.534515857696533,19837,0.7946773360129147,0.6902969501811945,5.698617041581338,1.6612762542567243,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,1,512,24,2.0,128,0.0001,64,1.0,27.921142578125,19837,0.7557968968412623,0.689731803957864,5.5345323898628935,1.6525009575417464,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,1,512,24,1.0,64,0.01,32,1.0,9.103135824203491,19837,0.7122606764467514,0.663791884429374,5.222645962113896,1.5890925894148498,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,1,512,24,1.0,64,0.001,64,0.01,9.425030946731567,19837,0.8211092166229101,0.7013267337806158,5.49273034697207,1.6406833572649726,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,1,512,24,0.0,128,0.001,32,0.1,12.870508432388306,19837,0.778637692498971,0.684731663582967,5.6346190152371545,1.64982080940379,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,1,512,24,1.0,64,0.0001,32,10.0,36.2776505947113,19837,0.8814932195920182,0.7318377188652984,6.0743258126596045,1.735183602844499,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,1,512,24,0.0,128,0.001,64,0.01,9.372831583023071,19837,0.8379316983523126,0.7065892797926808,5.5945987288324135,1.647171855247284,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,1,512,24,2.0,128,0.0001,32,1.0,35.29572105407715,19837,0.7261598746293961,0.6763100574868816,5.361188776670048,1.6227294897824731,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,1,512,24,2.0,128,0.0001,64,0.01,21.720308303833008,19837,0.7643120085249702,0.6962186139136555,5.587150886145523,1.666989519126469,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,1,512,24,1.0,64,0.0001,64,0.01,27.08026385307312,19837,0.8825590826052853,0.7330651477684484,5.917395914955332,1.714222675963684,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,1,512,24,2.0,128,0.01,64,10.0,4.341509103775024,19837,0.7098751504235848,0.6593700272043248,5.153666280154748,1.5748540548718946,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,1,512,24,1.0,128,0.001,64,0.1,5.2133948802948,19837,0.8910386629179072,0.7318063826136001,6.007019082761478,1.7158262584430235,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,3,512,24,2.0,64,0.01,32,0.01,14.943859100341797,19837,0.7137023209990696,0.6487203773449726,5.424940257799353,1.610836922041502,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,3,512,24,1.0,128,0.001,64,0.01,16.679320096969604,19837,0.848978834181687,0.7159706211132947,5.488529186400072,1.6492209543016465,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,3,512,24,2.0,64,0.01,64,0.1,11.136929035186768,19837,0.70817599799965,0.6602894385743311,5.112798848814768,1.5705036340576397,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,3,512,24,1.0,128,0.001,32,0.1,29.87338161468506,19837,0.8512263356216282,0.7088909433125071,5.848646925956445,1.6757991580448062,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,3,512,24,0.0,64,0.001,64,1.0,37.76771926879883,19837,0.8716702473674672,0.7305443794523049,6.038714314679558,1.7339482062008338,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,3,512,24,1.0,128,0.01,32,1.0,9.615529298782349,19837,0.7969911257531366,0.6842563519059812,5.639481041484228,1.63694480821542,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,3,512,24,1.0,128,0.001,64,0.1,10.753277063369753,19837,0.8972850415635751,0.7357717796793373,6.081655173364722,1.7267666983961527,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,3,512,24,0.0,64,0.001,32,10.0,54.4083206653595,19837,0.8391741207679226,0.7102533672914575,5.89991997812414,1.6948518797886452,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,3,512,24,1.0,128,0.0001,64,1.0,88.25952243804932,19837,0.945577588899018,0.759142385099875,6.301652271958939,1.772589850028021,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,3,512,24,1.0,128,0.01,64,1.0,19.57644915580749,19837,0.7763720688091332,0.6788809637624584,5.5405917458355205,1.6319764210954542,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,3,512,24,1.0,128,0.001,32,0.1,26.18617558479309,19837,0.8521388911596126,0.7151575218358908,5.830554864037092,1.689980417955478,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,3,512,24,2.0,64,0.001,32,10.0,45.433793783187866,19837,0.710863237046932,0.6675188074515312,5.206145160105746,1.5940975484422313,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,3,512,24,2.0,64,0.001,64,1.0,40.27073335647583,19837,0.7128937316195172,0.6710608682955995,5.226325326817091,1.6024991023786492,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,3,512,24,1.0,128,0.0001,32,1.0,73.3261206150055,19837,0.9492594117980742,0.7611011370653851,6.304651802747784,1.774872206638629,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,3,512,24,0.0,64,0.0001,64,0.1,97.34878039360046,19837,1.0380042321022849,0.8025560162429551,6.474936590443841,1.8174945079718383,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,3,512,24,0.0,64,0.0001,32,0.01,90.55254244804382,19837,0.8265587294815144,0.7169050669070016,5.652554017431696,1.6817266516183096,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,3,512,24,2.0,128,0.01,64,0.01,8.410878419876099,19837,0.7218205621948983,0.6552187840086177,5.253122520891568,1.563243479946673,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,3,512,24,2.0,128,0.01,32,0.1,10.165318250656128,19837,0.7053238059127851,0.67028307164169,5.100379905594152,1.5838479690237586,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,3,512,24,2.0,128,0.01,32,0.01,13.95076584815979,19837,0.744182277642104,0.6661391252004742,5.076411824995743,1.5987935993163198,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,3,512,24,2.0,64,0.01,64,0.01,11.045770645141602,19837,0.7371640209516392,0.6570085532182383,5.365627459694122,1.6256739075825997,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,3,512,24,0.0,128,0.01,32,1.0,33.084641456604004,19837,0.7300784442154655,0.6671897624279266,5.332340683938257,1.6002202256521574,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,3,512,24,1.0,64,0.01,64,0.01,13.699009656906128,19837,0.7732059490389298,0.6812417202378006,5.283666431752259,1.6231475488611884,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,3,512,24,1.0,64,0.001,64,10.0,16.992892503738403,19837,0.8819942146949035,0.7274958028236925,6.051716678468599,1.7194311689878077,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,3,512,24,1.0,64,0.001,32,1.0,33.91200041770935,19837,0.8510062712260552,0.7198363601998049,5.956248672836553,1.7132949646266111,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,3,512,24,0.0,128,0.001,64,0.1,23.758971452713013,19837,0.8791821051209713,0.7324452915310538,5.959547608433244,1.7181281427373336,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,3,512,24,2.0,128,0.0001,32,10.0,78.46377801895142,19837,0.7178064033164063,0.6698914056629693,5.262386064522575,1.605966144089522,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,3,512,24,1.0,64,0.001,64,10.0,25.23431634902954,19837,0.892473113976324,0.7317481942521848,6.111895528405093,1.7346302701436604,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,3,512,24,2.0,128,0.001,64,0.1,17.43716812133789,19837,0.7016007506640812,0.6622902643859483,5.658650867698271,1.6372635594461098,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,3,512,24,1.0,64,0.01,32,0.1,31.15497851371765,19837,0.7159661617594729,0.6544548208222312,5.56480525600754,1.6174623341649654,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,3,512,24,1.0,64,0.0001,64,0.01,73.33577823638916,19837,0.9311048258180912,0.7523560594223133,6.074086249469808,1.7369117232671447,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,3,512,24,0.0,128,0.001,32,0.1,56.411072969436646,19837,0.8299727408367894,0.7003492242305047,5.714735171017177,1.662791722085002,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,3,512,24,2.0,128,0.0001,64,1.0,111.62478947639464,19837,0.7140257634295555,0.6742148841682853,5.2519075177295065,1.6131464460982476,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,3,512,24,1.0,64,0.01,64,1.0,7.329286098480225,19837,0.8094831796658609,0.6903644799642707,5.710407437787089,1.646940834038476,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,3,512,24,2.0,64,0.01,32,10.0,12.800787210464478,19837,0.7106862703357115,0.6611362394878091,5.167172091697839,1.5782466953775875,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,3,512,24,0.0,128,0.001,32,1.0,29.12407875061035,19837,0.8243513633158475,0.7061276371353479,5.830210884869139,1.684147078555311,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,3,512,24,2.0,128,0.001,32,0.01,11.297987222671509,19837,0.7649926036649204,0.6681961318295115,5.187775288717714,1.6177967347497535,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,3,512,24,0.0,128,0.01,64,1.0,7.014828681945801,19837,0.7982135223846397,0.6839083888414369,5.634072390837173,1.6359111871224736,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,3,512,24,2.0,128,0.001,32,0.01,14.954695463180542,19837,0.7083401563586338,0.6453838402143433,5.518916564995128,1.6244748549833836,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,3,512,24,1.0,64,0.001,32,0.01,48.80846261978149,19837,0.8059145399771735,0.6908808383678713,5.319942958077054,1.6262939046744955,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,3,512,24,1.0,64,0.01,32,10.0,19.136752605438232,19837,0.73508204740445,0.6701745600577129,5.388185253188479,1.6104040675205422,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,3,512,24,2.0,64,0.01,32,1.0,13.494190216064451,19837,0.7057359880687857,0.6659812000556176,5.122991673766674,1.582492511017431,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,3,512,24,0.0,128,0.001,64,10.0,52.9117283821106,19837,0.8424978510773867,0.7127116884276218,5.915810340373146,1.699363131847413,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,3,512,24,2.0,128,0.0001,64,0.1,106.87978649139404,19837,0.7236762288869407,0.6744057158356033,5.421129375300959,1.6318601897099891,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,3,512,24,1.0,64,0.001,64,0.1,51.842750787734985,19837,0.8448193491318956,0.7167458487267329,5.951001267011625,1.7088769478005903,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,3,512,24,1.0,64,0.0001,32,0.1,120.740163564682,19837,0.9038719402349612,0.7463190677466399,6.083447668705023,1.742337979629103,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,3,512,24,2.0,64,0.0001,32,0.01,116.41032242774963,19837,0.7514053863027768,0.684769697677048,5.548816469990701,1.664553806599234,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,3,512,24,2.0,64,0.0001,64,0.01,122.11640167236328,19837,0.7599609513929155,0.6811700417087505,5.592697561599346,1.6441915983360975,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,3,512,24,2.0,64,0.0001,64,0.1,100.68726658821106,19837,0.722086371984914,0.6831199470687184,5.359407081146726,1.639982136727674,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,3,512,24,2.0,64,0.01,32,1.0,18.267436265945435,19837,0.7018486140289336,0.6642877563812775,5.094198640765543,1.5788704595832657,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,3,512,24,1.0,128,0.001,32,1.0,26.76804900169373,19837,0.8668686295061402,0.7154313365053553,5.991653167807399,1.6993619661986614,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,5,512,24,0.0,64,0.01,64,1.0,25.3181700706482,19837,0.7898739899562904,0.6884609733374949,5.613052017626426,1.641574682593988,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,5,512,24,1.0,128,0.001,32,0.01,33.306090354919434,19837,0.8751189502705825,0.7298379608574567,5.617252105985333,1.6562909588721348,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,5,512,24,0.0,64,0.01,32,1.0,54.806516885757446,19837,0.7450202914420554,0.6776690569410034,5.4658216944316464,1.6277902913146327,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,5,512,24,1.0,128,0.001,64,0.1,50.498798847198486,19837,0.8649226931859856,0.7143285585830668,6.139562799951064,1.7115329906082728,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,5,512,24,2.0,64,0.001,64,0.1,64.95588493347168,19837,0.7352843124652795,0.6611069066538297,5.467513559446398,1.6034864855588662,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,5,512,24,2.0,64,0.001,32,0.1,41.96436858177185,19837,0.733625972988801,0.6667123952748443,5.346052910341168,1.6057611574650312,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,5,512,24,1.0,128,0.01,32,0.01,37.352126121521,19837,0.7013669051113265,0.6426216287018668,5.006542409441696,1.563856598989108,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,5,512,24,2.0,64,0.001,64,1.0,42.1942412853241,19837,0.7085028878179224,0.6692178077521702,5.1563066209228525,1.5898585788139643,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,5,512,24,1.0,128,0.001,64,10.0,57.552300214767456,19837,0.8905928675137423,0.7321691836228225,6.094311778915623,1.7307265187659664,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,5,512,24,1.0,128,0.0001,32,1.0,112.89320659637453,19837,0.9191257461814416,0.746759471246702,6.189188777950719,1.7532745605240403,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,5,512,24,1.0,128,0.01,64,0.1,42.51472568511963,19837,0.7970227588082228,0.677019465327763,5.8544984104763484,1.6411456312275727,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,5,512,24,1.0,128,0.001,32,1.0,52.00396108627319,19837,0.8593058019773764,0.7147473109189791,5.9899084502527,1.7031835170221157,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,5,512,24,2.0,64,0.001,32,1.0,67.54513430595398,19837,0.7123777576440145,0.6662066923966832,5.212705001398,1.5918657552685127,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,5,512,24,0.0,64,0.0001,32,0.1,123.03061532974245,19837,0.9046064620608694,0.7429981911521241,5.997134399748218,1.729034931088745,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,5,512,24,1.0,128,0.0001,64,10.0,128.83216261863708,19837,0.9288386007805256,0.7546782628297649,6.213718930836568,1.7663313244902925,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,5,512,24,2.0,128,0.01,32,0.1,34.472299575805664,19837,0.7284938647331559,0.661339921957736,5.276392460176222,1.5766323086514658,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,5,512,24,0.0,128,0.001,64,1.0,35.40150022506714,19837,0.9203738943599156,0.7445700079040619,6.208346363432412,1.7485809582569087,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,5,512,24,0.0,128,0.001,64,0.01,33.097583055496216,19837,0.8594138812742659,0.7209641295835119,5.75647124155316,1.679307793090116,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,5,512,24,1.0,64,0.001,32,1.0,55.80436849594116,19837,0.8323511085814167,0.7053523220476532,5.87459860053994,1.6853992284273056,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,5,512,24,1.0,64,0.01,32,1.0,24.055603981018063,19837,0.8143668569179972,0.6911463019657783,5.746597018834638,1.6529975215640462,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,5,512,24,0.0,128,0.001,32,10.0,45.816574573516846,19837,0.8784049288757589,0.72347224215644,6.075342308107766,1.7213734752671963,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,5,512,24,2.0,128,0.01,64,0.01,25.86322593688965,19837,0.7126000718008672,0.6440020391665827,5.42448531492014,1.5844877256778274,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,5,512,24,1.0,64,0.001,64,0.1,28.055965900421143,19837,0.8589755427820093,0.7211915045784116,5.979248718427423,1.7115953367703134,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,5,512,24,2.0,64,0.001,64,0.01,60.14570474624634,19837,0.9056228996356558,0.6903409510493599,6.267609413419589,1.7179826565209333,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,5,512,24,1.0,64,0.01,64,1.0,21.73981237411499,19837,0.7813956172664664,0.685601060233129,5.623077247702739,1.645916259309492,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,5,512,24,1.0,64,0.001,64,10.0,52.92748785018921,19837,0.9207219872205472,0.7457800988593019,6.212835083921647,1.7519479551699622,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,5,512,24,0.0,64,0.0001,64,0.1,213.64981412887573,19837,0.9785986722832912,0.767872543975187,6.3271215619177,1.7712771686367244,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,5,512,24,1.0,64,0.001,32,0.01,103.81891250610352,19837,0.7940914826256323,0.6925079582120246,5.2500690011249285,1.6426420924097538,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,5,512,24,0.0,128,0.001,32,0.1,58.334205627441406,19837,0.8450515482690024,0.7132701950652883,5.94804751450916,1.7042073837403569,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,5,512,24,2.0,128,0.0001,64,1.0,92.90627837181091,19837,0.719848904035394,0.679323317893136,5.289302574512351,1.6222236571973507,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,5,512,24,2.0,128,0.0001,32,10.0,93.76451420783997,19837,0.7208363259488618,0.6779290978588254,5.269452122170876,1.6164495914066015,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,5,512,24,1.0,64,0.0001,32,0.1,101.2481095790863,19837,0.9310718256590682,0.7500001848722605,6.193503806530337,1.748172031713624,,,,,
