dataset,foundational_model,adapter,n_features,n_components,is_fine_tuned,pca_in_preprocessing,use_revin,context_length,forecasting_horizon,running_time,seed,metric,value,train_size
ETTh2,AutonLab/MOMENT-1-small,,7,7,ft,False,False,512.0,96,175.26480293273926,29521.0,mae,0.3593120351651802,1000.0
ETTh2,AutonLab/MOMENT-1-small,,7,7,ft,False,False,512.0,96,175.26480293273926,29521.0,scaled_mse,0.30465903910701186,1000.0
ETTh2,AutonLab/MOMENT-1-small,,7,7,ft,False,False,512.0,96,175.26480293273926,29521.0,scaled_mae,0.3595068076102546,1000.0
ETTh2,AutonLab/MOMENT-1-small,,7,7,ft,False,False,512.0,96,175.88057851791382,31579.0,mse,0.3020308526633005,1000.0
ETTh2,AutonLab/MOMENT-1-small,,7,7,ft,False,False,512.0,96,175.88057851791382,31579.0,mae,0.3582752108820665,1000.0
ETTh2,AutonLab/MOMENT-1-small,,7,7,ft,False,False,512.0,96,175.88057851791382,31579.0,scaled_mse,0.28310666760297465,1000.0
ETTh2,AutonLab/MOMENT-1-small,,7,7,ft,False,False,512.0,96,175.88057851791382,31579.0,scaled_mae,0.34632395405658917,1000.0
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,ft_then_supervised,False,True,512.0,24,745.5906100273132,1082.0,mse,2.6214654738607592,141.0
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,ft_then_supervised,False,True,512.0,24,745.5906100273132,1082.0,mae,1.1002356934144966,141.0
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,ft_then_supervised,False,True,512.0,24,745.5906100273132,1082.0,scaled_mse,2.6203678164627506,141.0
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,ft_then_supervised,False,True,512.0,24,745.5906100273132,1082.0,scaled_mae,1.110147310143559,141.0
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,ft_then_supervised,False,True,512.0,24,462.73146867752075,20884.0,mse,2.5258207958072565,141.0
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,ft_then_supervised,False,True,512.0,24,462.73146867752075,20884.0,mae,1.0764456208593542,141.0
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,ft_then_supervised,False,True,512.0,24,462.73146867752075,20884.0,scaled_mse,2.5130842340649733,141.0
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,ft_then_supervised,False,True,512.0,24,462.73146867752075,20884.0,scaled_mae,1.083964362259645,141.0
ExchangeRate,AutonLab/MOMENT-1-small,linearAE,8,8,ft_then_supervised,False,True,512.0,96,5741.070554256439,11615.0,mse,0.15468656333253503,1000.0
ExchangeRate,AutonLab/MOMENT-1-small,linearAE,8,8,ft_then_supervised,False,True,512.0,96,5741.070554256439,11615.0,mae,0.29821416324460476,1000.0
ExchangeRate,AutonLab/MOMENT-1-small,linearAE,8,8,ft_then_supervised,False,True,512.0,96,5741.070554256439,11615.0,scaled_mse,0.1753478191477693,1000.0
ExchangeRate,AutonLab/MOMENT-1-small,linearAE,8,8,ft_then_supervised,False,True,512.0,96,5741.070554256439,11615.0,scaled_mae,0.31692183172022986,1000.0
ETTh1,AutonLab/MOMENT-1-small,linearAE,7,7,ft_then_supervised,False,True,512.0,96,9018.910818099976,15084.0,mse,0.3995304044485222,1000.0
ETTh1,AutonLab/MOMENT-1-small,linearAE,7,7,ft_then_supervised,False,True,512.0,96,9018.910818099976,15084.0,mae,0.4201323689698307,1000.0
ETTh1,AutonLab/MOMENT-1-small,linearAE,7,7,ft_then_supervised,False,True,512.0,96,9018.910818099976,15084.0,scaled_mse,0.4080491931078865,1000.0
ETTh1,AutonLab/MOMENT-1-small,linearAE,7,7,ft_then_supervised,False,True,512.0,96,9018.910818099976,15084.0,scaled_mae,0.42356619156433206,1000.0
ExchangeRate,AutonLab/MOMENT-1-small,linearAE,8,8,ft_then_supervised,False,True,512.0,96,6170.7650673389435,10288.0,mse,0.18024294448576608,1000.0
ExchangeRate,AutonLab/MOMENT-1-small,linearAE,8,8,ft_then_supervised,False,True,512.0,96,6170.7650673389435,10288.0,mae,0.31732686590738735,1000.0
ExchangeRate,AutonLab/MOMENT-1-small,linearAE,8,8,ft_then_supervised,False,True,512.0,96,6170.7650673389435,10288.0,scaled_mse,0.1977009151865078,1000.0
ExchangeRate,AutonLab/MOMENT-1-small,linearAE,8,8,ft_then_supervised,False,True,512.0,96,6170.7650673389435,10288.0,scaled_mae,0.3311809179845961,1000.0
