dataset,foundational_model,adapter,n_features,n_components,context_length,forecasting_horizon,num_layers,hidden_dim,learning_rate,batch_size,coeff_reconstruction,running_time,seed,mse,mae,test_mse,test_mae
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,1,512,24,0,0,0.001,32,1.0,91.19394016265869,1333,0.7739866796556071,0.7161333926439306,4.32046222000478,1.499631503635446
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,1,512,24,0,0,0.0001,32,0.1,144.90767121315002,1333,1.3423289831775838,0.9145192181783469,6.771840861362262,1.849126165483497
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,1,512,24,0,0,0.001,32,0.01,90.39181470870972,1333,0.7609209807473586,0.6655134023007112,5.935901045417201,1.6542650815222992
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,1,512,24,0,0,0.01,32,0.01,19.834108591079712,1333,0.7110293866974928,0.6649413143863423,5.315518173905688,1.6055267252131045
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,1,512,24,0,0,0.0001,64,1.0,127.65760159492493,1333,1.5264829767126598,1.0121160731463241,7.271778333191554,2.028907054390562
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,1,512,24,0,0,0.001,64,1.0,102.65194392204285,1333,0.7187566741493393,0.6616663125418065,5.194751071943212,1.5778775956378064
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,1,512,24,0,0,0.01,32,0.01,25.17261290550232,1333,0.6967878575593978,0.6634768926486586,4.596934852907759,1.5148734255286123
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,1,512,24,0,0,0.0001,32,0.1,148.04272723197937,1333,1.328368775120041,0.8966921349334975,7.071941102846014,1.9443474372713596
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,1,512,24,0,0,0.001,32,1.0,133.60769057273865,1333,0.7071512200899321,0.6578506123024935,5.120173291376551,1.5681534648257194
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,1,512,24,0,0,0.0001,64,1.0,125.60290789604187,1333,0.9163015106675569,0.7936967572034676,5.699867630125927,1.8317268538241427
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,1,512,24,0,0,0.001,64,0.1,119.86884427070618,1333,0.7402714894190362,0.6776450206105512,5.243018427855064,1.5992741336712302
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,1,512,24,0,0,0.0001,32,1.0,108.05904483795166,1333,1.13590440435614,0.8399346650245789,6.9905176730735885,1.8567591013423348
