dataset,foundational_model,adapter,n_features,n_components,is_fine_tuned,pca_in_preprocessing,use_revin,context_length,forecasting_horizon,running_time,seed,metric,value,train_size
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,supervised,False,True,512.0,24,186.33520674705505,4372.0,scaled_mse,3.9928059248962233,
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,supervised,False,True,512.0,24,186.33520674705505,4372.0,scaled_mae,1.4661335144247218,
Illness,AutonLab/MOMENT-1-small,,7,7,False,True,False,512.0,24,2.383470058441162,28068.0,mse,5.23849683792627,
Illness,AutonLab/MOMENT-1-small,,7,7,False,True,False,512.0,24,2.383470058441162,28068.0,mae,1.620916659860728,
Illness,AutonLab/MOMENT-1-small,,7,7,False,True,False,512.0,24,2.383470058441162,28068.0,scaled_mse,5.283194683277658,
Illness,AutonLab/MOMENT-1-small,,7,7,False,True,False,512.0,24,2.383470058441162,28068.0,scaled_mae,1.1604518927205434,
Illness,AutonLab/MOMENT-1-small,,7,7,False,True,False,512.0,24,1.9989259243011475,6681.0,mse,5.134903187365533,
Illness,AutonLab/MOMENT-1-small,,7,7,False,True,False,512.0,24,1.9989259243011475,6681.0,mae,1.6023895978834255,
Illness,AutonLab/MOMENT-1-small,,7,7,False,True,False,512.0,24,1.9989259243011475,6681.0,scaled_mse,5.175598096670011,
Illness,AutonLab/MOMENT-1-small,,7,7,False,True,False,512.0,24,1.9989259243011475,6681.0,scaled_mae,1.1488091738461201,
Illness,AutonLab/MOMENT-1-small,,7,7,False,True,False,512.0,24,1.9380629062652588,19969.0,mse,4.91427684933154,
Illness,AutonLab/MOMENT-1-small,,7,7,False,True,False,512.0,24,1.9380629062652588,19969.0,mae,1.5732915851723668,
Illness,AutonLab/MOMENT-1-small,,7,7,False,True,False,512.0,24,1.9380629062652588,19969.0,scaled_mse,4.942773675454705,
Illness,AutonLab/MOMENT-1-small,,7,7,False,True,False,512.0,24,1.9380629062652588,19969.0,scaled_mae,1.1263432162614537,
Illness,AutonLab/MOMENT-1-small,,7,7,False,True,False,512.0,24,2.0090959072113037,20226.0,mse,4.913192563403081,
Illness,AutonLab/MOMENT-1-small,,7,7,False,True,False,512.0,24,2.0090959072113037,20226.0,mae,1.5776990637533634,
Illness,AutonLab/MOMENT-1-small,,7,7,False,True,False,512.0,24,2.0090959072113037,20226.0,scaled_mse,4.939378779239382,
Illness,AutonLab/MOMENT-1-small,,7,7,False,True,False,512.0,24,2.0090959072113037,20226.0,scaled_mae,1.1282167386131068,
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,supervised,False,True,512.0,24,110.43406772613525,29658.0,mse,4.030399255450317,
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,supervised,False,True,512.0,24,110.43406772613525,29658.0,mae,1.4653453821733364,
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,supervised,False,True,512.0,24,110.43406772613525,29658.0,scaled_mse,3.9795687975045952,
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,supervised,False,True,512.0,24,110.43406772613525,29658.0,scaled_mae,1.4680920596001423,
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,supervised,True,True,512.0,24,58.37073254585266,24971.0,mse,4.03774951116324,
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,supervised,True,True,512.0,24,58.37073254585266,24971.0,mae,1.472943883777142,
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,supervised,True,True,512.0,24,58.37073254585266,24971.0,scaled_mse,3.9821828402161996,
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,supervised,True,True,512.0,24,58.37073254585266,24971.0,scaled_mae,1.0568064353032334,
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,supervised,True,True,512.0,24,25.76182246208191,17704.0,mse,4.014540744222894,
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,supervised,True,True,512.0,24,25.76182246208191,17704.0,mae,1.4581226117256396,
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,supervised,True,True,512.0,24,25.76182246208191,17704.0,scaled_mse,3.95914633893088,
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,supervised,True,True,512.0,24,25.76182246208191,17704.0,scaled_mae,1.0538284661344675,
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,supervised,True,True,512.0,24,140.81787991523743,8002.0,mse,3.9983610313132427,
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,supervised,True,True,512.0,24,140.81787991523743,8002.0,mae,1.427171201594196,
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,supervised,True,True,512.0,24,140.81787991523743,8002.0,scaled_mse,3.9375786415208274,
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,supervised,True,True,512.0,24,140.81787991523743,8002.0,scaled_mae,1.0297166837521743,
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,supervised,False,True,512.0,24,127.05490851402283,21905.0,mse,4.1047698163900845,
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,supervised,False,True,512.0,24,127.05490851402283,21905.0,mae,1.4706554741771842,
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,supervised,False,True,512.0,24,127.05490851402283,21905.0,scaled_mse,4.055293752884455,
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,supervised,False,True,512.0,24,127.05490851402283,21905.0,scaled_mae,1.4742572351127987,
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,supervised,True,True,512.0,24,57.614014863967896,23615.0,mse,3.9959735803957703,
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,supervised,True,True,512.0,24,57.614014863967896,23615.0,mae,1.4612123112488056,
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,supervised,True,True,512.0,24,57.614014863967896,23615.0,scaled_mse,3.940004836818957,
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,supervised,True,True,512.0,24,57.614014863967896,23615.0,scaled_mae,1.054231110822101,
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,supervised,False,True,512.0,24,81.51993036270142,26643.0,mse,4.080775139337866,
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,supervised,False,True,512.0,24,81.51993036270142,26643.0,mae,1.4740752285157372,
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,supervised,False,True,512.0,24,81.51993036270142,26643.0,scaled_mse,4.032438541299593,
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,supervised,False,True,512.0,24,81.51993036270142,26643.0,scaled_mae,1.477459188392507,
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,supervised,True,True,512.0,24,74.36756253242493,4183.0,mse,4.032379499852472,
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,supervised,True,True,512.0,24,74.36756253242493,4183.0,mae,1.429656092682636,
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,supervised,True,True,512.0,24,74.36756253242493,4183.0,scaled_mse,3.971983308875399,
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,supervised,True,True,512.0,24,74.36756253242493,4183.0,scaled_mae,1.0327902752045606,
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,supervised,False,True,512.0,24,51.16593074798584,23113.0,mse,4.071483229907846,
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,supervised,False,True,512.0,24,51.16593074798584,23113.0,mae,1.473734916775708,
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,supervised,False,True,512.0,24,51.16593074798584,23113.0,scaled_mse,4.022959011640894,
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,supervised,False,True,512.0,24,51.16593074798584,23113.0,scaled_mae,1.4769958759806445,
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,supervised,False,True,512.0,24,67.75006365776062,4386.0,mse,4.0384034099852,
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,supervised,False,True,512.0,24,67.75006365776062,4386.0,mae,1.459370674454606,
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,supervised,False,True,512.0,24,67.75006365776062,4386.0,scaled_mse,3.9891846462365166,
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,supervised,False,True,512.0,24,67.75006365776062,4386.0,scaled_mae,1.462521204777894,
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,supervised,False,True,512.0,24,78.15220427513123,19760.0,mse,4.0737810765571805,
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,supervised,False,True,512.0,24,78.15220427513123,19760.0,mae,1.4755160937139833,
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,supervised,False,True,512.0,24,78.15220427513123,19760.0,scaled_mse,4.026177830380662,
Illness,AutonLab/MOMENT-1-small,linearAE,7,7,supervised,False,True,512.0,24,78.15220427513123,19760.0,scaled_mae,1.4789600100467841,
Illness,AutonLab/MOMENT-1-small,pca,7,7,False,False,False,512.0,24,2.404836654663086,32141.0,mse,5.041440090644893,
Illness,AutonLab/MOMENT-1-small,pca,7,7,False,False,False,512.0,24,2.404836654663086,32141.0,mae,1.5942071396804256,
Illness,AutonLab/MOMENT-1-small,pca,7,7,False,False,False,512.0,24,2.404836654663086,32141.0,scaled_mse,5.072762696361814,
Illness,AutonLab/MOMENT-1-small,pca,7,7,False,False,False,512.0,24,2.404836654663086,32141.0,scaled_mae,1.6187767762282763,
Illness,AutonLab/MOMENT-1-small,pca,7,7,False,False,False,512.0,24,2.413036346435547,26500.0,mse,5.044825907519028,
Illness,AutonLab/MOMENT-1-small,pca,7,7,False,False,False,512.0,24,2.413036346435547,26500.0,mae,1.5929062006339307,
Illness,AutonLab/MOMENT-1-small,pca,7,7,False,False,False,512.0,24,2.413036346435547,26500.0,scaled_mse,5.07953691559477,
Illness,AutonLab/MOMENT-1-small,pca,7,7,False,False,False,512.0,24,2.413036346435547,26500.0,scaled_mae,1.6176999571254533,
Illness,AutonLab/MOMENT-1-small,pca,7,7,False,False,False,512.0,24,2.3731629848480225,27039.0,mse,5.08513972066495,
Illness,AutonLab/MOMENT-1-small,pca,7,7,False,False,False,512.0,24,2.3731629848480225,27039.0,mae,1.5969232614803968,
Illness,AutonLab/MOMENT-1-small,pca,7,7,False,False,False,512.0,24,2.3731629848480225,27039.0,scaled_mse,5.1231464948937315,
